datetime,price,number,type
20231020352,59999,9,
20231020353,60007,7,
20231020354,60032,2,
20231020355,60020,0,
20231020356,59991,1,
20231020357,59984,4,
20231020358,59964,4,
20231020359,59958,8,
20231020360,59963,3,
20231020361,59973,3,
20231020362,59984,4,
20231020363,59954,4,
20231020364,59979,9,
20231020365,59977,7,
20231020366,59965,5,
20231020367,59979,9,
20231020368,59961,1,
20231020369,59962,2,
20231020370,59944,4,
20231020371,59947,7,
20231020372,59958,8,
20231020373,59962,2,
20231020374,59987,7,
20231020375,59959,9,
20231020376,59981,1,
20231020377,59996,6,
20231020378,59996,6,
20231020379,60004,4,
20231020380,60028,8,
20231020381,60010,0,
20231020382,60023,3,
20231020383,60048,8,
20231020384,60039,9,
20231020385,60058,8,
20231020386,60060,0,
20231020387,60071,1,
20231020388,60066,6,
20231020389,60053,3,
20231020390,60034,4,
20231020391,60043,3,
20231020392,60037,7,
20231020393,60033,3,
20231020394,60051,1,
20231020395,60072,2,
20231020396,60073,3,
20231020397,60099,9,
20231020398,60106,6,
20231020399,60099,9,
20231020400,60126,6,
20231020401,60121,1,
20231020402,60111,1,
20231020403,60128,8,
20231020404,60159,9,
20231020405,60173,3,
20231020406,60209,9,
20231020407,60183,3,
20231020408,60191,1,
20231020409,60203,3,
20231020410,60188,8,
20231020411,60179,9,
20231020412,60181,1,
20231020413,60173,3,
20231020414,60191,1,
20231020415,60179,9,
20231020416,60201,1,
20231020417,60181,1,
20231020418,60186,6,
20231020419,60204,4,
20231020420,60197,7,
20231020421,60214,4,
20231020422,60208,8,
20231020423,60236,6,
20231020424,60254,4,
20231020425,60246,6,
20231020426,60267,7,
20231020427,60256,6,
20231020428,60222,2,
20231020429,60204,4,
20231020430,60224,4,
20231020431,60251,1,
20231020432,60269,9,
20231020433,60257,7,
20231020434,60255,5,
20231020435,60233,3,
20231020436,60220,0,
20231020437,60218,8,
20231020438,60239,9,
20231020439,60267,7,
20231020440,60265,5,
20231020441,60248,8,
20231020442,60271,1,
20231020443,60284,4,
20231020444,60256,6,
20231020445,60249,9,
20231020446,60253,3,
20231020447,60227,7,
20231020448,60242,2,
20231020449,60274,4,
20231020450,60253,3,
20231020451,60288,8,
20231020452,60319,9,
20231020453,60312,2,
20231020454,60303,3,
20231020455,60339,9,
20231020456,60326,6,
20231020457,60310,0,
20231020458,60303,3,
20231020459,60316,6,
20231020460,60293,3,
20231020461,60329,9,
20231020462,60298,8,
20231020463,60318,8,
20231020464,60298,8,
20231020465,60279,9,
20231020466,60297,7,
20231020467,60269,9,
20231020468,60273,3,
20231020469,60268,8,
20231020470,60255,5,
20231020471,60271,1,
20231020472,60281,1,
20231020473,60292,2,
20231020474,60271,1,
20231020475,60286,6,
20231020476,60286,6,
20231020477,60288,8,
20231020478,60291,1,
20231020479,60309,9,
20231020480,60316,6,
20231021001,59977,7,
20231021002,60007,7,
20231021003,60003,3,
20231021004,59991,1,
20231021005,59974,4,
20231021006,59951,1,
20231021007,59952,2,
20231021008,59974,4,
20231021009,59998,8,
20231021010,59966,6,
20231021011,59963,3,
20231021012,59947,7,
20231021013,59943,3,
20231021014,59979,9,
20231021015,59957,7,
20231021016,59973,3,
20231021017,59981,1,
20231021018,59982,2,
20231021019,59994,4,
20231021020,59968,8,
20231021021,59950,0,
20231021022,59964,4,
20231021023,59951,1,
20231021024,59955,5,
20231021025,59957,7,
20231021026,59943,3,
20231021027,59941,1,
20231021028,59957,7,
20231021029,59929,9,
20231021030,59902,2,
20231021031,59911,1,
20231021032,59921,1,
20231021033,59892,2,
20231021034,59884,4,
20231021035,59893,3,
20231021036,59928,8,
20231021037,59935,5,
20231021038,59925,5,
20231021039,59937,7,
20231021040,59931,1,
20231021041,59959,9,
20231021042,59960,0,
20231021043,59944,4,
20231021044,59945,5,
20231021045,59966,6,
20231021046,59979,9,
20231021047,59967,7,
20231021048,59989,9,
20231021049,60001,1,
20231021050,60012,2,
20231021051,59989,9,
20231021052,59993,3,
20231021053,60024,4,
20231021054,59994,4,
20231021055,59991,1,
20231021056,59986,6,
20231021057,59998,8,
20231021058,60011,1,
20231021059,60019,9,
20231021060,60008,8,
20231021061,60016,6,
20231021062,59991,1,
20231021063,60027,7,
20231021064,60043,3,
20231021065,60031,1,
20231021066,60033,3,
20231021067,60036,6,
20231021068,60007,7,
20231021069,59977,7,
20231021070,59976,6,
20231021071,59946,6,
20231021072,59946,6,
20231021073,59924,4,
20231021074,59923,3,
20231021075,59957,7,
20231021076,59931,1,
20231021077,59934,4,
20231021078,59920,0,
20231021079,59912,2,
20231021080,59913,3,
20231021081,59931,1,
20231021082,59953,3,
20231021083,59937,7,
20231021084,59917,7,
20231021085,59888,8,
20231021086,59894,4,
20231021087,59911,1,
20231021088,59916,6,
20231021089,59938,8,
20231021090,59942,2,
20231021091,59941,1,
20231021092,59921,1,
20231021093,59913,3,
20231021094,59933,3,
20231021095,59908,8,
20231021096,59881,1,
20231021097,59866,6,
20231021098,59838,8,
20231021099,59847,7,
20231021100,59819,9,
20231021101,59811,1,
20231021102,59832,2,
20231021103,59814,4,
20231021104,59817,7,
20231021105,59798,8,
20231021106,59766,6,
20231021107,59773,3,
20231021108,59775,5,
20231021109,59771,1,
20231021110,59769,9,
20231021111,59743,3,
20231021112,59766,6,
20231021113,59789,9,
20231021114,59759,9,
20231021115,59788,8,
20231021116,59762,2,
20231021117,59752,2,
20231021118,59731,1,
20231021119,59749,9,
20231021120,59752,2,
20231021121,59765,5,
20231021122,59736,6,
20231021123,59762,2,
20231021124,59789,9,
20231021125,59796,6,
20231021126,59817,7,
20231021127,59820,0,
20231021128,59830,0,
20231021129,59849,9,
20231021130,59850,0,
20231021131,59863,3,
20231021132,59861,1,
20231021133,59852,2,
20231021134,59858,8,
20231021135,59836,6,
20231021136,59858,8,
20231021137,59866,6,
20231021138,59894,4,
20231021139,59881,1,
20231021140,59854,4,
20231021141,59836,6,
20231021142,59838,8,
20231021143,59864,4,
20231021144,59883,3,
20231021145,59856,6,
20231021146,59856,6,
20231021147,59833,3,
20231021148,59829,9,
20231021149,59846,6,
20231021150,59874,4,
20231021151,59897,7,
20231021152,59902,2,
20231021153,59919,9,
20231021154,59925,5,
20231021155,59924,4,
20231021156,59898,8,
20231021157,59868,8,
20231021158,59871,1,
20231021159,59887,7,
20231021160,59859,9,
20231021161,59868,8,
20231021162,59837,7,
20231021163,59868,8,
20231021164,59847,7,
20231021165,59817,7,
20231021166,59824,4,
20231021167,59841,1,
20231021168,59863,3,
20231021169,59841,1,
20231021170,59822,2,
20231021171,59823,3,
