datetime,price,number,type
20231020372,45333,3,
20231020373,45333,3,
20231020374,45317,7,
20231020375,45337,7,
20231020376,45311,1,
20231020377,45304,4,
20231020378,45298,8,
20231020379,45312,2,
20231020380,45308,8,
20231020381,45296,6,
20231020382,45308,8,
20231020383,45317,7,
20231020384,45299,9,
20231020385,45304,4,
20231020386,45306,6,
20231020387,45283,3,
20231020388,45303,3,
20231020389,45304,4,
20231020390,45301,1,
20231020391,45303,3,
20231020392,45286,6,
20231020393,45274,4,
20231020394,45272,2,
20231020395,45244,4,
20231020396,45254,4,
20231020397,45277,7,
20231020398,45242,2,
20231020399,45252,2,
20231020400,45258,8,
20231020401,45261,1,
20231020402,45299,9,
20231020403,45293,3,
20231020404,45328,8,
20231020405,45346,6,
20231020406,45334,4,
20231020407,45316,6,
20231020408,45339,9,
20231020409,45332,2,
20231020410,45349,9,
20231020411,45363,3,
20231020412,45347,7,
20231020413,45329,9,
20231020414,45298,8,
20231020415,45311,1,
20231020416,45296,6,
20231020417,45280,0,
20231020418,45296,6,
20231020419,45309,9,
20231020420,45283,3,
20231020421,45296,6,
20231020422,45300,0,
20231020423,45326,6,
20231020424,45348,8,
20231020425,45338,8,
20231020426,45307,7,
20231020427,45282,2,
20231020428,45282,2,
20231020429,45285,5,
20231020430,45302,2,
20231020431,45317,7,
20231020432,45316,6,
20231020433,45328,8,
20231020434,45339,9,
20231020435,45327,7,
20231020436,45339,9,
20231020437,45354,4,
20231020438,45371,1,
20231020439,45364,4,
20231020440,45364,4,
20231020441,45397,7,
20231020442,45400,0,
20231020443,45411,1,
20231020444,45412,2,
20231020445,45397,7,
20231020446,45391,1,
20231020447,45382,2,
20231020448,45398,8,
20231020449,45417,7,
20231020450,45444,4,
20231020451,45454,4,
20231020452,45434,4,
20231020453,45423,3,
20231020454,45411,1,
20231020455,45444,4,
20231020456,45454,4,
20231020457,45451,1,
20231020458,45433,3,
20231020459,45427,7,
20231020460,45432,2,
20231020461,45413,3,
20231020462,45438,8,
20231020463,45407,7,
20231020464,45424,4,
20231020465,45410,0,
20231020466,45386,6,
20231020467,45370,0,
20231020468,45391,1,
20231020469,45393,3,
20231020470,45377,7,
20231020471,45407,7,
20231020472,45382,2,
20231020473,45393,3,
20231020474,45391,1,
20231020475,45400,0,
20231020476,45393,3,
20231020477,45364,4,
20231020478,45389,9,
20231020479,45383,3,
20231020480,45383,3,
20231021001,45010,0,
20231021002,45028,8,
20231021003,45047,7,
20231021004,45042,2,
20231021005,45021,1,
20231021006,45009,9,
20231021007,45019,9,
20231021008,45028,8,
20231021009,45058,8,
20231021010,45031,1,
20231021011,45007,7,
20231021012,45002,2,
20231021013,44996,6,
20231021014,44998,8,
20231021015,45029,9,
20231021016,45021,1,
20231021017,45034,4,
20231021018,45044,4,
20231021019,45030,0,
20231021020,45043,3,
20231021021,45062,2,
20231021022,45062,2,
20231021023,45093,3,
20231021024,45113,3,
20231021025,45115,5,
20231021026,45149,9,
20231021027,45145,5,
20231021028,45178,8,
20231021029,45161,1,
20231021030,45197,7,
20231021031,45193,3,
20231021032,45174,4,
20231021033,45173,3,
20231021034,45156,6,
20231021035,45145,5,
20231021036,45131,1,
20231021037,45153,3,
20231021038,45152,2,
20231021039,45143,3,
20231021040,45150,0,
20231021041,45179,9,
20231021042,45174,4,
20231021043,45175,5,
