datetime,price,number,type
20231020362,15566,6,
20231020363,15553,3,
20231020364,15526,6,
20231020365,15514,4,
20231020366,15512,2,
20231020367,15534,4,
20231020368,15521,1,
20231020369,15499,9,
20231020370,15493,3,
20231020371,15494,4,
20231020372,15507,7,
20231020373,15536,6,
20231020374,15567,7,
20231020375,15539,9,
20231020376,15549,9,
20231020377,15541,1,
20231020378,15561,1,
20231020379,15532,2,
20231020380,15537,7,
20231020381,15511,1,
20231020382,15494,4,
20231020383,15518,8,
20231020384,15547,7,
20231020385,15539,9,
20231020386,15520,0,
20231020387,15513,3,
20231020388,15527,7,
20231020389,15525,5,
20231020390,15519,9,
20231020391,15522,2,
20231020392,15539,9,
20231020393,15567,7,
20231020394,15570,0,
20231020395,15597,7,
20231020396,15572,2,
20231020397,15574,4,
20231020398,15573,3,
20231020399,15559,9,
20231020400,15539,9,
20231020401,15526,6,
20231020402,15521,1,
20231020403,15526,6,
20231020404,15503,3,
20231020405,15524,4,
20231020406,15513,3,
20231020407,15523,3,
20231020408,15522,2,
20231020409,15514,4,
20231020410,15499,9,
20231020411,15472,2,
20231020412,15497,7,
20231020413,15491,1,
20231020414,15473,3,
20231020415,15459,9,
20231020416,15473,3,
20231020417,15451,1,
20231020418,15451,1,
20231020419,15469,9,
20231020420,15492,2,
20231020421,15509,9,
20231020422,15507,7,
20231020423,15502,2,
20231020424,15514,4,
20231020425,15525,5,
20231020426,15521,1,
20231020427,15542,2,
20231020428,15556,6,
20231020429,15526,6,
20231020430,15557,7,
20231020431,15533,3,
20231020432,15531,1,
20231020433,15516,6,
20231020434,15512,2,
20231020435,15504,4,
20231020436,15489,9,
20231020437,15487,7,
20231020438,15468,8,
20231020439,15448,8,
20231020440,15433,3,
20231020441,15442,2,
20231020442,15447,7,
20231020443,15434,4,
20231020444,15442,2,
20231020445,15478,8,
20231020446,15494,4,
20231020447,15481,1,
20231020448,15462,2,
20231020449,15461,1,
20231020450,15476,6,
20231020451,15472,2,
20231020452,15497,7,
20231020453,15485,5,
20231020454,15506,6,
20231020455,15517,7,
20231020456,15536,6,
20231020457,15516,6,
20231020458,15534,4,
20231020459,15526,6,
20231020460,15513,3,
20231020461,15537,7,
20231020462,15506,6,
20231020463,15496,6,
20231020464,15487,7,
20231020465,15482,2,
20231020466,15473,3,
20231020467,15474,4,
20231020468,15508,8,
20231020469,15511,1,
20231020470,15499,9,
20231020471,15489,9,
20231020472,15483,3,
20231020473,15462,2,
20231020474,15451,1,
20231020475,15454,4,
20231020476,15445,5,
20231020477,15453,3,
20231020478,15457,7,
20231020479,15446,6,
20231020480,15424,4,
20231021001,15008,8,
20231021002,14990,0,
20231021003,15027,7,
20231021004,15038,8,
20231021005,15046,6,
20231021006,15028,8,
20231021007,15026,6,
20231021008,15024,4,
20231021009,15030,0,
20231021010,15025,5,
20231021011,15003,3,
20231021012,15002,2,
20231021013,14993,3,
20231021014,14991,1,
20231021015,15014,4,
20231021016,15049,9,
20231021017,15063,3,
20231021018,15084,4,
20231021019,15097,7,
20231021020,15086,6,
20231021021,15090,0,
20231021022,15116,6,
20231021023,15108,8,
20231021024,15101,1,
20231021025,15111,1,
20231021026,15091,1,
20231021027,15112,2,
20231021028,15104,4,
20231021029,15114,4,
20231021030,15107,7,
20231021031,15129,9,
20231021032,15114,4,
20231021033,15111,1,
20231021034,15092,2,
20231021035,15089,9,
20231021036,15077,7,
20231021037,15074,4,
20231021038,15065,5,
20231021039,15081,1,
20231021040,15114,4,
20231021041,15092,2,
20231021042,15095,5,
20231021043,15112,2,
20231021044,15103,3,
20231021045,15074,4,
20231021046,15083,3,
20231021047,15068,8,
20231021048,15043,3,
20231021049,15021,1,
20231021050,15057,7,
20231021051,15032,2,
20231021052,15012,2,
20231021053,14983,3,
20231021054,14984,4,
20231021055,14983,3,
20231021056,14996,6,
20231021057,15029,9,
20231021058,15033,3,
20231021059,15009,9,
20231021060,15013,3,
20231021061,15021,1,
20231021062,15046,6,
20231021063,15058,8,
20231021064,15036,6,
20231021065,15042,2,
20231021066,15032,2,
20231021067,15008,8,
20231021068,15005,5,
20231021069,15013,3,
20231021070,15033,3,
20231021071,15035,5,
20231021072,15009,9,
20231021073,15003,3,
20231021074,15014,4,
20231021075,15007,7,
20231021076,15004,4,
20231021077,15027,7,
20231021078,15031,1,
20231021079,15057,7,
20231021080,15055,5,
20231021081,15034,4,
20231021082,15020,0,
20231021083,15002,2,
20231021084,14992,2,
20231021085,15027,7,
20231021086,15018,8,
20231021087,14991,1,
20231021088,14989,9,
20231021089,14978,8,
20231021090,15003,3,
20231021091,15038,8,
20231021092,15032,2,
20231021093,15003,3,
20231021094,15001,1,
20231021095,15001,1,
20231021096,15012,2,
20231021097,15029,9,
20231021098,15012,2,
20231021099,15044,4,
20231021100,15054,4,
20231021101,15045,5,
20231021102,15041,1,
20231021103,15064,4,
20231021104,15081,1,
20231021105,15094,4,
20231021106,15093,3,
20231021107,15092,2,
20231021108,15095,5,
20231021109,15097,7,
20231021110,15109,9,
20231021111,15101,1,
20231021112,15122,2,
20231021113,15130,0,
20231021114,15116,6,
20231021115,15146,6,
20231021116,15169,9,
20231021117,15147,7,
20231021118,15146,6,
20231021119,15127,7,
20231021120,15121,1,
20231021121,15097,7,
20231021122,15108,8,
20231021123,15103,3,
20231021124,15099,9,
20231021125,15078,8,
20231021126,15052,2,
20231021127,15054,4,
20231021128,15040,0,
20231021129,15016,6,
20231021130,15022,2,
20231021131,15036,6,
20231021132,15043,3,
20231021133,15053,3,
20231021134,15028,8,
20231021135,15034,4,
20231021136,15063,3,
20231021137,15033,3,
20231021138,15036,6,
20231021139,15026,6,
20231021140,15056,6,
20231021141,15023,3,
20231021142,15034,4,
20231021143,15032,2,
20231021144,15012,2,
20231021145,15048,8,
20231021146,15041,1,
20231021147,15068,8,
20231021148,15082,2,
20231021149,15074,4,
20231021150,15046,6,
20231021151,15017,7,
20231021152,15000,0,
20231021153,14996,6,
20231021154,14995,5,
20231021155,14978,8,
20231021156,14953,3,
20231021157,14954,4,
20231021158,14941,1,
20231021159,14927,7,
20231021160,14931,1,
20231021161,14968,8,
20231021162,14943,3,
20231021163,14918,8,
20231021164,14897,7,
20231021165,14894,4,
20231021166,14900,0,
20231021167,14891,1,
20231021168,14912,2,
20231021169,14912,2,
20231021170,14896,6,
20231021171,14917,7,
20231021172,14938,8,
20231021173,14924,4,
20231021174,14910,0,
20231021175,14914,4,
20231021176,14898,8,
20231021177,14886,6,
20231021178,14878,8,
20231021179,14871,1,
20231021180,14878,8,
20231021181,14868,8,
20231021182,14853,3,
20231021183,14868,8,
20231021184,14887,7,
20231021185,14893,3,
20231021186,14866,6,
20231021187,14892,2,
20231021188,14913,3,
20231021189,14912,2,
20231021190,14904,4,
20231021191,14926,6,
20231021192,14937,7,
20231021193,14940,0,
20231021194,14913,3,
20231021195,14939,9,
20231021196,14941,1,
20231021197,14955,5,
20231021198,14939,9,
20231021199,14952,2,
20231021200,14989,9,
20231021201,15008,8,
20231021202,14995,5,
20231021203,14969,9,
20231021204,14998,8,
20231021205,15027,7,
20231021206,14998,8,
20231021207,15018,8,
20231021208,14992,2,
20231021209,14993,3,
20231021210,14994,4,
20231021211,14978,8,
20231021212,14994,4,
20231021213,15004,4,
20231021214,15010,0,
20231021215,14993,3,
20231021216,15004,4,
20231021217,15023,3,
20231021218,15024,4,
20231021219,15038,8,
20231021220,15035,5,
20231021221,15049,9,
20231021222,15059,9,
20231021223,15066,6,
20231021224,15076,6,
20231021225,15059,9,
